,BICCN2_gene_cluster_NP,BICCN2_gene_cluster_Vip_Chat,BICCN2_gene_cluster_Vip_Gcnt4,BICCN2_gene_cluster_Vip_Hcls1,BICCN2_gene_cluster_Sncg,BICCN2_gene_cluster_Pv_Ntf3_Trim63,BICCN2_gene_cluster_Pv_Tac1,BICCN2_gene_cluster_Lamp5_Arhgdib,BICCN2_gene_cluster_Lamp5_Smad3,BICCN2_gene_cluster_Chodl,BICCN2_gene_cluster_Sst_Man1a,BICCN2_gene_cluster_Sst_Chrna2_Myh8,BICCN2_gene_cluster_Sst_Stk33,BICCN2_gene_cluster_L23.c,BICCN2_gene_cluster_L23.a,BICCN2_gene_cluster_L23.b,BICCN2_gene_cluster_Lamp5_Ndnf,BICCN2_gene_cluster_Vip_Lipg,BICCN2_gene_cluster_L5.IT.a,BICCN2_gene_cluster_ASC,BICCN2_gene_cluster_L5.PT,BICCN2_gene_cluster_Lamp5_Mettl21e,BICCN2_gene_cluster_Smc,BICCN2_gene_cluster_L4,BICCN2_gene_cluster_L5.IT.b,BICCN2_gene_cluster_Endo,BICCN2_gene_cluster_MGC,BICCN2_gene_cluster_Pv_Vsig2,BICCN2_gene_cluster_L6.IT,BICCN2_gene_cluster_OGC,BICCN2_gene_cluster_OPC,BICCN2_gene_cluster_L6.CT,BICCN2_gene_cluster_Other
SM_IN_Vip,0.02040816326530612,0.11731843575418995,0.08695652173913043,0.08695652173913043,0.015228426395939087,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.030927835051546393,0.010101010101010102,0.015228426395939087,0.015228426395939087,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.010101010101010102
SM_EX_L5.6.NP,0.12359550561797752,0.010101010101010102,0.005025125628140704,0.02564102564102564,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.015228426395939087,0.02564102564102564,0.041666666666666664,0.030927835051546393,0.02564102564102564,0.015228426395939087,0.0,0.005025125628140704,0.0,0.015228426395939087,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.010101010101010102
SM_EX_L2.3.IT,0.0,0.005025125628140704,0.010101010101010102,0.0,0.005025125628140704,0.0,0.005025125628140704,0.010101010101010102,0.015228426395939087,0.010101010101010102,0.02564102564102564,0.015228426395939087,0.005025125628140704,0.06951871657754011,0.05263157894736842,0.06382978723404255,0.005025125628140704,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.010101010101010102,0.0,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0
SM_IN_Lamp5,0.0,0.010101010101010102,0.010101010101010102,0.02564102564102564,0.030927835051546393,0.0,0.005025125628140704,0.0582010582010582,0.08108108108108109,0.010101010101010102,0.0,0.0,0.0,0.015228426395939087,0.010101010101010102,0.010101010101010102,0.03626943005181347,0.015228426395939087,0.005025125628140704,0.0,0.005025125628140704,0.030927835051546393,0.015228426395939087,0.0,0.0,0.010101010101010102,0.0,0.0,0.005025125628140704,0.0,0.0,0.02040816326530612,0.005025125628140704
SM_IN_Sncg,0.005025125628140704,0.010101010101010102,0.03626943005181347,0.02564102564102564,0.0989010989010989,0.0,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.02040816326530612,0.010101010101010102,0.005025125628140704,0.015228426395939087,0.0,0.005025125628140704,0.0,0.0,0.0,0.010101010101010102,0.005025125628140704,0.0,0.0,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.02040816326530612
SM_EX_L6.IT.Car3,0.02040816326530612,0.02040816326530612,0.03626943005181347,0.030927835051546393,0.02564102564102564,0.015228426395939087,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.02564102564102564,0.02564102564102564,0.04712041884816754,0.030927835051546393,0.005025125628140704,0.005025125628140704,0.0,0.02564102564102564,0.030927835051546393,0.0,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0,0.02040816326530612,0.005025125628140704,0.0,0.010101010101010102,0.015228426395939087,0.010101010101010102,0.0,0.015228426395939087
SM_IN_Sst,0.02040816326530612,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.041666666666666664,0.06951871657754011,0.05263157894736842,0.05263157894736842,0.0,0.010101010101010102,0.005025125628140704,0.0,0.005025125628140704,0.010101010101010102,0.0,0.0,0.0,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.0,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.0,0.005025125628140704
SM_IN_Pvalb,0.0,0.0,0.005025125628140704,0.0,0.0,0.05263157894736842,0.07526881720430108,0.0,0.0,0.005025125628140704,0.010101010101010102,0.0,0.0,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.0,0.0,0.015228426395939087,0.005025125628140704,0.005025125628140704,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0,0.0,0.010101010101010102,0.0,0.005025125628140704
SM_EX_L6.CT,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.005025125628140704,0.010101010101010102,0.0,0.005025125628140704,0.005025125628140704,0.0,0.02040816326530612,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.04712041884816754,0.02040816326530612
SM_EX_L6b,0.02564102564102564,0.02040816326530612,0.015228426395939087,0.015228426395939087,0.010101010101010102,0.015228426395939087,0.015228426395939087,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.015228426395939087,0.010101010101010102,0.0,0.005025125628140704,0.0,0.010101010101010102,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.0,0.010101010101010102,0.041666666666666664
SM_EX_L5.ET,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.02564102564102564,0.030927835051546393,0.02564102564102564,0.030927835051546393,0.010101010101010102,0.015228426395939087,0.010101010101010102,0.02040816326530612,0.02040816326530612,0.005025125628140704,0.005025125628140704,0.030927835051546393,0.015228426395939087,0.005025125628140704,0.02040816326530612,0.030927835051546393,0.010101010101010102,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.0
SM_EX_L5.IT,0.0,0.010101010101010102,0.015228426395939087,0.015228426395939087,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.0,0.005025125628140704,0.02040816326530612,0.015228426395939087,0.005025125628140704,0.0,0.0,0.015228426395939087,0.010101010101010102,0.04712041884816754,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.0,0.02040816326530612,0.015228426395939087,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0
